what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk",1271437251892
started,bundle,org.eclipse.equinox.p2.metadata,1.0.100.v20090525,"org.eclipse.equinox.p2.metadata",1271437252059
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437253113
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437256075
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20090520-1905,"org.eclipse.equinox.p2.ui.sdk.install",1271437256088
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437304744
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437316125
started,bundle,org.eclipse.help.base,3.4.0.v200909170800,"org.eclipse.help.base",1271437319407
started,bundle,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui",1271437319453
started,bundle,org.eclipse.equinox.http.jetty,2.0.0.v20090520-1800,"org.eclipse.equinox.http.jetty",1271437319650
started,bundle,org.eclipse.equinox.http.servlet,1.0.200.v20090520-1800,"org.eclipse.equinox.http.servlet",1271437319845
started,bundle,org.eclipse.equinox.http.registry,1.0.200.v20090520-1800,"org.eclipse.equinox.http.registry",1271437320110
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.helpContents",1271437321497
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437321822
started,bundle,org.eclipse.equinox.jsp.jasper.registry,1.0.100.v20090520-1800,"org.eclipse.equinox.jsp.jasper.registry",1271437325277
started,bundle,org.eclipse.equinox.jsp.jasper,1.0.200.v20090520-1800,"org.eclipse.equinox.jsp.jasper",1271437325352
started,bundle,org.eclipse.help.webapp,3.4.1.v20090819_35x,"org.eclipse.help.webapp",1271437329174
started,bundle,org.eclipse.ui.cheatsheets,3.3.200.v20090526,"org.eclipse.ui.cheatsheets",1271437381189
started,bundle,org.eclipse.ui.intro,3.3.1.v20090805_35x,"org.eclipse.ui.intro",1271437381232
started,bundle,org.eclipse.ui.intro.universal,3.2.300.v20090526,"org.eclipse.ui.intro.universal",1271437381638
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1271437397987
opened,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1271437401675
activated,view,org.eclipse.help.ui,3.4.1.v20090819_35x,"org.eclipse.help.ui.HelpView",1271437402403
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.help.helpSearch",1271437402806
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1271437406202
